名称,详情页链接,评分,评论数,信息,图片链接
龟山汉墓,https://you.ctrip.com/sight/xuzhou230/17377.html,4.6,(3310),徐州市鼓楼区襄王北路3号,https://dimg04.c-ctrip.com/images/0104u120008k0mc4r35BE_C_220_140.jpg
徐州博物馆,https://you.ctrip.com/sight/xuzhou230/17383.html,4.6,(1093),江苏省徐州市云龙区和平路118号,https://dimg04.c-ctrip.com/images/0100y12000i04x6du83BF_C_220_140.jpg
徐州汉文化景区,https://you.ctrip.com/sight/xuzhou230/116632.html,4.5,(1424),江苏省徐州市云龙区兵马俑路1号,https://dimg04.c-ctrip.com/images/0105512000h4yxvhx0BBE_C_220_140.jpg
徐州 · 许嵩《呼吸之野》巡回演唱会,https://you.ctrip.com/sight/xuzhou230/151580409.html,无评分,(暂无点评),新城区汉源大道和峨眉山路交叉口,https://dimg04.c-ctrip.com/images/0100y12000cf2qbb4F13D_C_220_140.png
云龙湖旅游景区,https://you.ctrip.com/sight/xuzhou230/17385.html,4.7,(2000),江苏省徐州市泉山区湖中路,https://dimg04.c-ctrip.com/images/0103512000j1neuj00A3C_C_220_140.jpg
徐州方特乐园,https://you.ctrip.com/sight/xuzhou230/136623811.html,4.9,(1134),江苏省徐州市铜山区张集镇方特大道1号,https://dimg04.c-ctrip.com/images/1lo1f12000bii022lBDB3_C_220_140.jpg
徐州乐园欢乐世界,https://you.ctrip.com/sight/xuzhou230/5705906.html,4.6,(1584),江苏省徐州市泉山区金山街道玉带大道9号,https://dimg04.c-ctrip.com/images/1lo2u12000fsf0560B517_C_220_140.jpg
徐州欧乐堡海洋极地世界,https://you.ctrip.com/sight/xuzhou230/135313202.html,4.6,(836),江苏省徐州市鼓楼区九里山东路79号,https://dimg04.c-ctrip.com/images/0101v120009z4k8qq650C_C_220_140.jpg
徐州云龙山索道,https://you.ctrip.com/sight/xuzhou230/70309.html,4.6,(198),徐州市泉山区云龙山索滑道,https://dimg04.c-ctrip.com/images/0101012000f6t5p2196EE_C_220_140.jpg
彭城风华,https://you.ctrip.com/sight/xuzhou230/136471946.html,4.8,(331),泉山区湖南路与环湖东路交叉口北60米,https://dimg04.c-ctrip.com/images/1lo0i12000baosdj3B26E_C_220_140.jpg
徐州乐园度假区,https://you.ctrip.com/sight/xuzhou230/20355.html,4.6,(1614),江苏省徐州市云龙湖风景区玉带大道9号,https://dimg04.c-ctrip.com/images/0103a1200095d4zm69AA8_C_220_140.jpg
徐州九顶山野生动物园,https://you.ctrip.com/sight/suining3082/133839226.html,4.3,(791),徐州市睢宁县岚山镇观岚路88-1号,https://dimg04.c-ctrip.com/images/0103312000a3416jq757F_C_220_140.jpg
户部山,https://you.ctrip.com/sight/xuzhou230/116633.html,4.6,(169),江苏省徐州市云龙区彭城街道崔家巷2号,https://dimg04.c-ctrip.com/images/100r1f000001goolw2E33_C_220_140.jpg
戏马台,https://you.ctrip.com/sight/xuzhou230/17388.html,4.6,(554),江苏省徐州市云龙区户部山项王路1号,https://dimg04.c-ctrip.com/images/0104l120009hef308CD5A_C_220_140.jpg
督公山漂流,https://you.ctrip.com/sight/xuzhou230/1411446.html,4.7,(192),徐州市贾汪区东约5公里督公湖风景区内,https://dimg04.c-ctrip.com/images/0105p12000f6pxobgA064_C_220_140.jpg
督公湖风景区,https://you.ctrip.com/sight/xuzhou230/1830385.html,4.1,(17),徐州市贾汪区贾汴路,https://dimg04.c-ctrip.com/images/10030r000000heh907733_C_220_140.jpg
云龙山,https://you.ctrip.com/sight/xuzhou230/17384.html,4.7,(400),江苏省徐州市泉山区湖东路,https://dimg04.c-ctrip.com/images/0104h12000f6qvfkl3815_C_220_140.jpg
宝莲寺,https://you.ctrip.com/sight/xuzhou230/136003800.html,4.9,(18),金山桥经济开发区宝莲寺路5号,https://dimg04.c-ctrip.com/images/01A1412000aa80lry244F_C_220_140.jpg
窑湾古镇,https://you.ctrip.com/sight/xinyi1064/142546.html,4.3,(961),江苏省徐州市新沂市窑湾镇窑炮线与合窑线交汇处,https://dimg04.c-ctrip.com/images/100t1f000001gqd09BE60_C_220_140.jpg
狮子山楚王陵,https://you.ctrip.com/sight/xuzhou230/17378.html,4.5,(629),江苏省徐州市云龙区兵马俑路1号汉文化风景区,https://dimg04.c-ctrip.com/images/0102212000fjan8caC2BE_C_220_140.jpg
徐州乐园加勒比水世界,https://you.ctrip.com/sight/xuzhou230/116582.html,4.5,(1878),徐州市泉山区云龙湖风景区玉带大道9号,https://dimg04.c-ctrip.com/images/0100n120008thsoihE0DD_C_220_140.jpg
徐州大景山滑雪场,https://you.ctrip.com/sight/xuzhou230/1508650.html,4.2,(472),江苏省徐州市贾汪区山水大道26号,https://dimg04.c-ctrip.com/images/0102i120008e3iyr5E5EF_C_220_140.jpg
徐州海底世界,https://you.ctrip.com/sight/xuzhou230/2510943.html,4.1,(353),徐州市泉山区解放南路26-8号三胞国际广场B1,https://dimg04.c-ctrip.com/images/01025120008cp7d5yC517_C_220_140.jpg
