名称,详情页链接,评分,评论数,信息,图片链接,introduction,opening_hours
龟山汉墓,https://you.ctrip.com/sight/xuzhou230/17377.html,4.6,(3310),徐州市鼓楼区襄王北路3号,https://dimg04.c-ctrip.com/images/0104u120008k0mc4r35BE_C_220_140.jpg,龟山汉墓是龟山景区的主要景点之一，为西汉第六代楚襄王刘注的夫妻合葬墓，由人工开凿的两条墓道和十五间墓室组成，此墓工程浩大，气势雄伟，实为罕见。尤其是至今尚未揭开的四大谜团，吸引着海内外无数游人。龟山汉墓依山为陵，完全是掏空山体而建。南为楚王刘注墓，北为其夫人墓，有南北两条甬道，是打凿精度相当高的甬道。墓室十五间，由人工开凿而成，室室相通，主次分明；两甬道均由26块塞石分上下两层堵塞，每层13块，每块塞石重达6-7吨。奇异的是，两甬道无限延伸后交汇于当时的首都长安。,全年 08:30-17:00开放;全年 08:30-17:30开放
徐州博物馆,https://you.ctrip.com/sight/xuzhou230/17383.html,4.6,(1093),江苏省徐州市云龙区和平路118号,https://dimg04.c-ctrip.com/images/0100y12000i04x6du83BF_C_220_140.jpg,徐州博物馆位于云龙山北麓，原址为乾隆皇帝1757年南巡时的行宫旧址，博物馆的西南侧有西汉采石场遗址，东南侧有乾隆行宫及碑园，北侧为东汉的土山汉墓。其中博物馆是核心，都说“两汉文化看徐州”，而徐州各个汉墓出土的文物汇集于徐州博物馆，单说可以一次性看到金缕玉衣、银缕玉衣和铜缕玉衣，就已经能让文物爱好者欣喜若狂了。博物馆一楼的“金戈铁马”展厅陈列各种古代兵器；邓永清收藏书画馆里能看到八大山人（朱耷）、齐白石、徐悲鸿等诸多大家的墨宝。二楼的“天工汉玉”展厅值得一看，狮子山楚王陵出土的金缕玉衣便在这个展厅，是“镇馆之宝”。当然也有游客觉得它旁边的镶玉漆棺因为体形庞大更加令人震撼，玉棺同样出土于狮子山楚王陵。另外，银缕玉衣、铜缕玉衣也在这个展厅内。二楼的“汉室遗珍”内有一枚来自龟山汉墓的刘注龟钮银印颇具故事性，是从一个当地青年手中找回的，并由此判定龟山汉墓的墓主是刘注。三楼的“俑偶华采”展厅展出了从汉代到唐代的陶俑。汉俑造型抽象，北朝俑清秀端庄，隋唐俑雍容，其中驮蓝山楚王墓出土的乐舞俑引人注目，楚腰长袖，着实反应了汉代楚国的审美趣味。三楼的“史河流韵”展厅展出魏晋南北朝至清代的瓷器、铜器、金银器等；“清式家具”展厅展出精美的家具。博物馆东南侧的乾隆行宫不大，院子里有小桥、亭台、假山，比起江南园林的紧凑，看上去又疏朗些，这里介绍了乾隆与徐州的故事，立着几块石碑。博物馆西南侧的采石场遗址乍看之下像一块普通的绿化带，容易错过。由于保护不得当，遗址只存留部分，通过地上的玻璃地面，可以看到地下的采石遗址，有些遗址构建散落在绿地上，还有部分露天的采石所剩下的岩壁可看。博物馆北侧的土山汉墓是东汉彭城王的墓，可以下到墓坑中，后面的彭城王墓出土文物陈列馆里能看到墓中出土文物。,"01/01-05/30 周一 全天不开放;06/04-12/31 周一 全天不开放;01/01-05/30 周二-周日 09:00-17:00开放;06/04-12/31 周二-周日 09:00-17:00开放;清明节,劳动节,国庆节 09:00-20:00开放;05/31-06/01 09:00-20:00开放;06/02 09:00-18:00开放;06/03 全天不开放，5月31日（周六）-6月1日（周日）预约延长时段的观众可在当天16:45开始检票入馆
6月2日（周一）预约延长时段的观众可在当天16:00开始检票入馆"
徐州汉文化景区,https://you.ctrip.com/sight/xuzhou230/116632.html,4.5,(1424),江苏省徐州市云龙区兵马俑路1号,https://dimg04.c-ctrip.com/images/0105512000h4yxvhx0BBE_C_220_140.jpg,徐州汉文化景区距离徐州市区很近，其中汉兵马俑博物馆、水下兵马俑博物馆、汉画长廊、1995中国十大考古新发现之首狮子山楚王陵，被誉为“两汉三绝”，其他还有羊龟（鬼）山王后陵、刘氏宗祠、竹林寺等景点。在这里你可以一睹汉代楚王陵墓的内部构造，看楚王的地下部队兵马俑，探寻墓主神秘的身份之迷，如果你是汉代文化或《盗墓笔记》一类小说的粉丝，来这旅行更合适不过。景区有多个入口。东门进去是汉文化广场，有勺子形状的司南雕塑，两汉大事年表石刻，站立着的刘邦雕像等景点，再往里一点是王后陵。南门与西门间的兵马俑路上能看见楚王车马出行的雕塑，南门进去是狮子山楚王陵，陵前立着楚王骑着战马的雕像，西门进去是汉兵马俑博物馆。北门进去是竹林寺，但是北门附近没有公交到达。因为南门进去是最重要的景点，而且有多辆公交到达南门附近，所以一般从南门进景区开始参观。,全年 08:30-17:00开放;全年 08:30-17:30开放
徐州 · 许嵩《呼吸之野》巡回演唱会,https://you.ctrip.com/sight/xuzhou230/151580409.html,无评分,(暂无点评),新城区汉源大道和峨眉山路交叉口,https://dimg04.c-ctrip.com/images/0100y12000cf2qbb4F13D_C_220_140.png,当数万人的脉搏同时按下加速键 那些被生活折叠了的呼吸 将在巨大声浪中舒展成 一片可供赤足奔跑的原野   许嵩2025「呼吸之野」巡回演唱会   呼｜趣解生存谜题，喷薄哲思焰火  吸｜收纳悲欢种子，凝入情感琥珀 之｜构筑古今连廊，移步江湖夜雨  野｜摇晃青春盲盒，拆封年少赤诚     延续2024年22城巡演的澎湃感动，「呼吸之野」在春暖花开时，焕新出发，6月28日即将抵达徐州。     许嵩十九年音乐之旅，拥有八张词曲全创作专辑及众多深入人心的原创单曲，以强大的创作能量和独特的音乐魅力斩获各类音乐奖项，登上各大舞台，拥有海量忠实听众和上佳业界口碑。24年巡演里个人演唱曲目的词、曲、制作全部由许嵩一人包办，实力惊艳四座。「呼吸之野」目前已达成了23场体育场、90余万人次的盛大相聚，多城文旅联动打造「许嵩」与「城市」的魅力交汇，线下反响热烈，线上口碑优异，成为现象级巡演。     「呼吸之野」巡演是许嵩对自身音乐创作的全新梳理和呈现，也是对听者最真挚的回馈。许嵩携手顶尖演唱会制作团队，以每首作品的词曲内核为本，在舞台美术、视觉影像、音响效果等方方面面进行极致创意与尽心打磨，力求让每首作品的「视」与「听」之间达到完美契合。曲目编排方面，透彻展现许嵩「多面」、「多元」的创作风貌，对各个时期的作品进行了精心拣选和重新制作，有的曲目保留原汁原味的感动，有的曲目缔造耳目一新的惊艳。2025「呼吸之野」继续创新前行，以更精微的声光效果构建现场： ▸ 顶尖音响系统雕琢声场层次，资深音响团队倾力护航。 ▸ 动态视觉装置随歌曲生长，让不同的曲目绽放其独有的光影质地。 ▸ 多首曲目的舞美与编曲更新；亦有新曲目登场。     在想象与写实的互照里，在温柔与凛冽的交汇处，在俏皮与深刻的切换中，许嵩的音乐，记述着他的思考，也陪伴着我们的生活。 在「呼吸之野」，十九年的音乐长路凝练成一整晚的精彩纷呈。 在「呼吸之野」，耳机里的单曲循环演化成数万人的声浪共鸣。 这是一场演唱会，也是一篇你我共创的集体抒情诗。     带上你保存最久的歌词和旋律 来交换一整晚不设防的呼吸 当舞台的光束刺穿成年后的保护壳 你会突然认出—— 那个躲在MP3里 悄悄和世界较劲的少年,"06/28 周六 19:30-21:30开放，演出开始时间 19:30 ,具体演出时长以现场为准"
云龙湖旅游景区,https://you.ctrip.com/sight/xuzhou230/17385.html,4.7,(2000),江苏省徐州市泉山区湖中路,https://dimg04.c-ctrip.com/images/0103512000j1neuj00A3C_C_220_140.jpg,"云龙湖地处市区中心，湖东有云龙山，湖南有珠山，湖西有小长山和卧牛山。景区内湖波浩渺，山色叠翠，古往今来，吸引了众多游子。北宋文学家苏轼任徐州知府时即情钟此湖。如今的云龙湖，东湖游览区以水上活动和参观游览主为，西湖游览区以疗养度假为主，湖南则主要以娱乐及宾馆为主。另有儿童水上乐园、沙滩浴场、万人游泳场等。小南湖景区：小南湖景区内有一池二岛、三轩五园，整个景区水面精巧、环湖布景，以“江南园林”特色的会馆艺苑、水乡人家、小桥流水、名苑流香、荷塘鱼藕为主体景观，形成“静湖幽园”的中国古典人文及自然景观特色。水上世界：坐落在云龙湖湖心岛上，由水族馆、海洋剧场、海洋珍奇标本馆、4D动感电影组成。水族馆七个主题展区展示了来自世界各地的200多种10000余条珍贵鱼种，置身其中仿佛潜入一个扑朔迷离的水中世界。滨湖公园：坐落在云龙湖北岸，东接云龙山，西连韩山，南依云龙湖，北靠滨湖绿地，是一座带状生态园林公园，内有万人游泳场。滨湖新天地：位于云龙湖北大堤，由市民广场、步行街和艺术馆组成，是集休闲、娱乐、餐饮、购物等功能于一体的现代都市滨湖生态休闲文化场所。南湖水街：原名南湖别院，位于小南湖景区内的半岛上，北临风光秀丽的云龙湖，东望蜿蜒起伏的云龙山，古朴典雅的白墙黛瓦与碧水环绕的自然景观相依相映，景色雅致。主要建设内容分为两部分，一部分是商务会所，另一部分是企业会所,是融文化性、娱乐性、观赏性于一体的度假、餐饮、休闲娱乐消费街区。",全年 全天开放，游船：9:00-18:00
徐州方特乐园,https://you.ctrip.com/sight/xuzhou230/136623811.html,4.9,(1134),江苏省徐州市铜山区张集镇方特大道1号,https://dimg04.c-ctrip.com/images/1lo1f12000bii022lBDB3_C_220_140.jpg,徐州方特乐园是华强方特集团结合中华传统文化中的神话传说、民间故事以及徐州地方特色文化，综合运用行业前沿技术精心打造的一座大型文化高科技主题乐园。乐园包含8个方特呈现的室内大型高科技主题项目和30个项室外游乐项目，并综合运用球幕飞行影院、幻影成像、4D动感等领先科技，以参与、体验、互动的方式，打造了展示华夏文化魅力的方特经典项目《飞翔》《成语童话》，根据徐州地方特色文化创作的全新项目《大风歌》，取材自经典神话的《龙宫奇遇》，以及根据国民级动漫IP“熊出没”打造的《熊出没剧场》《熊熊历险》，更有惊险刺激的《冲上云霄》《星河穿越》《龙谷漂流》等十多个特色主题项目。 乐园还拥有200多项特色休闲景观、主题商店、特色餐厅，可提供 “吃、喝、游、购、娱”的一站式服务，充分满足各年龄层游客的需求，是合家出游的欢乐场所。,06/03-06/27 09:30-17:30开放;06/28-08/31 09:30-21:00开放
徐州乐园欢乐世界,https://you.ctrip.com/sight/xuzhou230/5705906.html,4.6,(1584),江苏省徐州市泉山区金山街道玉带大道9号,https://dimg04.c-ctrip.com/images/1lo2u12000fsf0560B517_C_220_140.jpg,徐州乐园欢乐世界（包含糖果世界）位于徐州市风景秀丽的云龙湖畔，占地32万平方米，采用国际知名理念和技术精心打造覆盖全年龄段的陆上主题公园。园区由代表智慧的英吉斯城邦、代表勇气的哈卡拉草原、代表勤劳的金矿镇、代表正义的法兰西城堡和糖果世界等六大主题区域组成，欢乐世界包含征战者过山车、草原飓风、疯狂巴士、飞行影院、天空之塔等22项游乐设备和主题演艺、花车巡游、配套主题餐饮娱乐等多个游玩项目。糖果世界是大型的室内亲子主题乐园，拥有全新的童乐设施，集教育、安全、欢乐、亲子互动于一体。城堡区、果蔬区、黑暗区、花园区和森林区五大主题区域，为全家人带来从未有过的甜蜜体验。这里是孩子们的梦幻王国，是家庭亲子互动的快乐城堡。在这里，孩子们与父母一起创造、互动、分享成长的快乐，留下甜蜜的回忆。“旅游观光巴士”、“旅游公交专线”免费乘坐：始发站和终点站均为徐州乐园，双休日发车。“旅游观光巴士”停靠云龙湖周边景点，全程13站，从8时到18时，每间隔1小时发车，双向对开；“旅游公交专线”串联起区内主要景区景点，全程21站，全天两班，9时和14时发车，双向对开。,05/06-05/30 周一-周五 10:00-21:00开放;05/06-05/30 周六-周日 09:30-21:00开放;05/31-06/02 09:00-22:00开放;06/03-06/20 10:00-18:00开放;06/21-08/31 09:00-22:00开放，夜场票15:00-21:00。6.3-6.20无夜场。
徐州欧乐堡海洋极地世界,https://you.ctrip.com/sight/xuzhou230/135313202.html,4.6,(836),江苏省徐州市鼓楼区九里山东路79号,https://dimg04.c-ctrip.com/images/0101v120009z4k8qq650C_C_220_140.jpg,徐州欧乐堡海洋极地世界是八仙过海旅游集团投资10亿元倾心打造的一座游览面积达到10万平方米，以海洋科普为主题，集文化展示、旅游观光、休闲娱乐、情景体验于一体的海洋科普馆。徐州欧乐堡海洋极地世界拥有北极熊、白鲸、海象、企鹅、海豚、海狮、海豹等世界各地近千种的珍稀海洋动物，4000多种海水淡水鱼类，海龟、玳瑁等各种珍贵罕见的海洋生物，拥有热带雨林、亚马逊探秘、鲨鱼湾、深海精灵、深海沉船、海底隧道、极地世界、水下剧场、海洋剧场等多个主题场馆，四大海洋主题时尚餐厅等等。在这里可以近距离观赏到各种海洋生物，可以欣赏到国内首创的美仑美奂的水下舞台剧、海洋动物行为展示等三大表演，并可以品尝到世界各地特色美食，同时可以丰富自己的海洋知识。徐州欧乐堡海洋极地世界是徐州及苏鲁豫皖四省宾客休闲观光科普研学之地。,"12/31 09:30-17:30开放，开园舞：09:25（海洋接待大厅）
人鱼奇缘：10:30,12:30,14:30,16:30（水下剧场）
海洋大联欢：11:30,15:30（海洋剧场）"
徐州云龙山索道,https://you.ctrip.com/sight/xuzhou230/70309.html,4.6,(198),徐州市泉山区云龙山索滑道,https://dimg04.c-ctrip.com/images/0101012000f6t5p2196EE_C_220_140.jpg,徐州市云龙山索道位于风景优美、风光旖旎的云龙湖畔，穿越逶迤九节的云龙山脉，整个索道全长1200米，垂直高度88米，设立十四个支架，三个站房，西站站房与果树盆艺园为邻，中站站房与观景台相系，东站站房与南郊彭祖园相对，运行速度1m/秒，大单向运输量450/小时，吊篮式吊篮数量90个，为单线循环吊篮式，云龙山索道的特点是将整个南郊风景区连成一体。,05/01-10/08 08:30-18:00开放;10/09-04/30 08:30-17:00开放
彭城风华,https://you.ctrip.com/sight/xuzhou230/136471946.html,4.8,(331),泉山区湖南路与环湖东路交叉口北60米,https://dimg04.c-ctrip.com/images/1lo0i12000baosdj3B26E_C_220_140.jpg,彭城有戏，风华共鉴。游客以水为媒、以岛为台、以船为席，观赏大型湖岛实景演出《彭城风华》。演出颠覆了传统的大剧场、大场面、大投资，演员人海战术等旅游演艺模式，满载乘客的游船从彭城风华游客中心码头出发，途经8个节点，全程3.3公里的航线。70分钟的行程中，以云龙山水为实景，将声、光、电、水、火等先进的科技手段和演员的真实表演相融合，打造了一幅苏轼在徐州任知州两年的繁华彭城盛景，一段苏轼与徐州的不解情缘，通过苏轼的视角从另一个角度解读徐州，在光影变幻与时空穿越中精彩呈现，进行一场水上行浸式夜游新体验,"06/02-06/22 周一-周四, 周日 18:20-20:40开放;06/24-06/30 周一-周四, 周日 18:20-20:40开放;06/02-06/22 周五-周六 18:20-22:20开放;06/24-06/30 周五-周六 18:20-22:20开放;07/01-07/06 18:20-22:20开放;07/08-07/20 18:20-22:20开放;07/22-07/31 18:20-22:20开放;06/23 全天不开放;07/07 全天不开放;07/21 全天不开放，6月30日、7月7日、7月21日为休演日期；最晚入场时间请以所选场次为准，具体场次开放请关注官方公告；演出需登船观演，迟到将无法入场，建议您在对应演出场次开始前40分钟进入码头区域。"
