名称,主题,适合人群,主题详情,人群详情,评分,评论数,信息,opening_hours,主题列表,人群列表,enhanced_address
龟山汉墓,"两汉文化, 历史遗迹, 自然风光",文化爱好者,"{'两汉文化': 14, '历史遗迹': 3, '自然风光': 2}",{'文化爱好者': 6},4.6,(3310),徐州市鼓楼区襄王北路3号,全年 08:30-17:00开放;全年 08:30-17:30开放,[],[],徐州市鼓楼区襄王北路3号
徐州博物馆,"两汉文化, 博物馆, 历史遗迹","文化爱好者, 学生团体, 老年人","{'两汉文化': 21, '博物馆': 14, '历史遗迹': 6}","{'文化爱好者': 15, '学生团体': 5, '老年人': 2}",4.6,(1093),江苏省徐州市云龙区和平路118号,"01/01-05/30 周一 全天不开放;06/04-12/31 周一 全天不开放;01/01-05/30 周二-周日 09:00-17:00开放;06/04-12/31 周二-周日 09:00-17:00开放;清明节,劳动节,国庆节 09:00-20:00开放;05/31-06/01 09:00-20:00开放;06/02 09:00-18:00开放;06/03 全天不开放，5月31日（周六）-6月1日（周日）预约延长时段的观众可在当天16:45开始检票入馆
6月2日（周一）预约延长时段的观众可在当天16:00开始检票入馆",[],[],江苏省徐州市云龙区和平路118号
徐州汉文化景区,"两汉文化, 历史遗迹, 博物馆","文化爱好者, 学生团体, 老年人","{'两汉文化': 20, '历史遗迹': 9, '博物馆': 3}","{'文化爱好者': 12, '学生团体': 3, '老年人': 2}",4.5,(1424),江苏省徐州市云龙区兵马俑路1号,全年 08:30-17:00开放;全年 08:30-17:30开放,[],[],江苏省徐州市云龙区兵马俑路1号
徐州 · 许嵩《呼吸之野》巡回演唱会,"自然风光, 文化演艺",年轻人,"{'自然风光': 2, '文化演艺': 2}",{'年轻人': 2},无评分,(暂无点评),新城区汉源大道和峨眉山路交叉口,"06/28 周六 19:30-21:30开放，演出开始时间 19:30 ,具体演出时长以现场为准",[],[],江苏省徐州市睢宁县新城区汉源大道和峨眉山路交叉口
云龙湖旅游景区,"自然风光, 水上活动, 主题乐园","文化爱好者, 老年人, 情侣","{'自然风光': 10, '水上活动': 6, '主题乐园': 4}","{'文化爱好者': 6, '老年人': 6, '情侣': 5}",4.7,(2000),江苏省徐州市泉山区湖中路,全年 全天开放，游船：9:00-18:00,[],[],江苏省徐州市泉山区湖中路
徐州方特乐园,"主题乐园, 自然风光, 水上活动","亲子家庭, 年轻人, 老年人","{'主题乐园': 8, '自然风光': 4, '水上活动': 2}","{'亲子家庭': 6, '年轻人': 4, '老年人': 4}",4.9,(1134),江苏省徐州市铜山区张集镇方特大道1号,06/03-06/27 09:30-17:30开放;06/28-08/31 09:30-21:00开放,[],[],江苏省徐州市铜山区张集镇方特大道1号
徐州乐园欢乐世界,"自然风光, 主题乐园, 城市公园","亲子家庭, 学生团体, 老年人","{'自然风光': 10, '主题乐园': 10, '城市公园': 2}","{'亲子家庭': 10, '学生团体': 3, '老年人': 2}",4.6,(1584),江苏省徐州市泉山区金山街道玉带大道9号,05/06-05/30 周一-周五 10:00-21:00开放;05/06-05/30 周六-周日 09:30-21:00开放;05/31-06/02 09:00-22:00开放;06/03-06/20 10:00-18:00开放;06/21-08/31 09:00-22:00开放，夜场票15:00-21:00。6.3-6.20无夜场。,[],[],江苏省徐州市泉山区金山街道玉带大道9号
徐州欧乐堡海洋极地世界,"文化演艺, 主题乐园, 科普教育","学生团体, 老年人, 文化爱好者","{'文化演艺': 4, '主题乐园': 2, '科普教育': 2}","{'学生团体': 12, '老年人': 4, '文化爱好者': 3}",4.6,(836),江苏省徐州市鼓楼区九里山东路79号,"12/31 09:30-17:30开放，开园舞：09:25（海洋接待大厅）
人鱼奇缘：10:30,12:30,14:30,16:30（水下剧场）
海洋大联欢：11:30,15:30（海洋剧场）",[],[],江苏省徐州市鼓楼区九里山东路79号
徐州云龙山索道,"自然风光, 夜游体验",通用,"{'自然风光': 8, '夜游体验': 2}","{'摄影爱好者': 1, '情侣': 1, '年轻人': 1}",4.6,(198),徐州市泉山区云龙山索滑道,05/01-10/08 08:30-18:00开放;10/09-04/30 08:30-17:00开放,[],[],徐州市泉山区云龙山索滑道
彭城风华,"文化演艺, 自然风光, 水上活动","年轻人, 情侣","{'文化演艺': 8, '自然风光': 4, '水上活动': 4}","{'年轻人': 2, '情侣': 2}",4.8,(331),泉山区湖南路与环湖东路交叉口北60米,"06/02-06/22 周一-周四, 周日 18:20-20:40开放;06/24-06/30 周一-周四, 周日 18:20-20:40开放;06/02-06/22 周五-周六 18:20-22:20开放;06/24-06/30 周五-周六 18:20-22:20开放;07/01-07/06 18:20-22:20开放;07/08-07/20 18:20-22:20开放;07/22-07/31 18:20-22:20开放;06/23 全天不开放;07/07 全天不开放;07/21 全天不开放，6月30日、7月7日、7月21日为休演日期；最晚入场时间请以所选场次为准，具体场次开放请关注官方公告；演出需登船观演，迟到将无法入场，建议您在对应演出场次开始前40分钟进入码头区域。",[],[],江苏省徐州市泉山区泉山区湖南路与环湖东路交叉口北60米
